FrameSync,DateTime (UTC-07:00),Temperature (Celsius),Conductivity (uS/cm),Pressure (Decibar),Oxygen (mg/L),pH (pH),Chlorophyll (ug/l),Turbidity (NTU),Chlorophyll StdDev (ug/l),Turbidity StdDev (NTU),Salinity (psu),Sound Velocity (m/sec),Spec Conductivity (uS/cm),Oxygen Sat (%),Date,Time (UTC-07:00),Sample Number,Event Flags
HCEP03730715,06/05/2024 16:04:00,  33.0969,      4.1,    0.138,  6.856,7.58,3.448,582.695,0.01,2.10,   0.0147, 1515.976,      3.6,    91.59, 05 Jun 2024, 16:04:00, 1, 4
HCEP03730715,06/05/2024 16:05:20,  33.0986,      4.4,    0.129,  6.826,7.61,3.392,560.899,0.01,1.51,   0.0147, 1515.980,      3.8,    91.66, 05 Jun 2024, 16:05:20, 2, 4
HCEP03730715,06/05/2024 16:06:40,  33.1004,      3.8,    0.140,  6.806,7.56,2.997,437.555,0.75,177.76,   0.0146, 1515.984,      3.3,    91.80, 05 Jun 2024, 16:06:40, 3, 4
HCEP03730715,06/05/2024 16:08:00,  33.1361,     52.5,    0.137,  6.770,7.68,3.082,292.765,0.01,0.37,   0.0296, 1516.075,     45.2,    92.03, 05 Jun 2024, 16:08:00, 4, 4
HCEP03730715,06/05/2024 16:09:20,  33.1090,     47.8,    0.140,  6.756,7.71,3.006,282.407,0.01,0.53,   0.0280, 1516.016,     41.2,    92.18, 05 Jun 2024, 16:09:20, 5, 4
HCEP03730715,06/05/2024 16:10:40,  33.0347,     59.5,    0.127,  6.743,7.72,2.863,261.485,0.01,0.35,   0.0321, 1515.865,     51.2,    92.22, 05 Jun 2024, 16:10:40, 6, 4
HCEP03730715,06/05/2024 16:12:00,  32.9728,     44.3,    0.138,  6.734,7.73,2.505,214.255,0.00,0.29,   0.0268, 1515.729,     38.2,    92.26, 05 Jun 2024, 16:12:00, 7, 4
HCEP03730715,06/05/2024 16:13:20,  32.9149,     35.6,    0.140,  6.723,7.73,4.238,422.407,0.01,0.27,   0.0238, 1515.604,     30.8,    92.24, 05 Jun 2024, 16:13:20, 8, 0
HCEP03730715,06/05/2024 16:14:40,  32.8708,     30.1,    0.140,  6.719,7.73,4.286,426.753,0.00,0.64,   0.0220, 1515.509,     26.0,    92.31, 05 Jun 2024, 16:14:40, 9, 0
HCEP03730715,06/05/2024 16:16:00,  32.8333,     25.3,    0.130,  6.709,7.74,4.239,423.706,0.00,0.19,   0.0205, 1515.428,     21.9,    92.27, 05 Jun 2024, 16:16:00, 10, 0
